Unnamed: 0,번호,제목,저자,출판사,출판일
,1,Architecting Time-Critical Big-Data Systems,"Basanta-Val, P.; Audsley, N. C.; Wellings, A. J.; Gray, I.; Fernandez-Garcia, N.",unknown,2016
,2,A trust-based crowdfunding campaign marketing framework: theoretical underpinnings and big-data analytics practice,"Baah-Peprah, Prince; Shneor, Rotem",Inderscience,2021
,3,Computation migration: a new approach to execute big-data bioinformatics workflows,"Nunes, Rickey T. P.; Deshpande, Santosh L.",Inderscience,2018
,4,"Capturing the value of biosurveillance ""big data"" through natural capital accounting","Castle, David; Hebert, Paul D.N.; Clare, Elizabeth L.; Hogg, Ian D.; Tremblay, Crystal",John Wiley & Sons Ltd,2021
,5,Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation,"Chakraborty, Chinmay; Khan, Muhammad Khurram; Ahmad, Ishfaq",Mary Ann Leibert,2021
,6,Diversity in Big Data: A Review,unknown,Mary Ann Leibert,2017
,7,Data Science and its Relationship to Big Data and Data-Driven Decision Making,unknown,Mary Ann Leibert,2013
,8,Sports Analytics in the Era of Big Data: Moving Toward the Next Frontier,"Assunção, Renato; Pelechrinis, Konstantinos",Mary Ann Leibert,2018
,9,The Structural Consequences of Big Data-Driven Education,unknown,Mary Ann Leibert,2017
,10,"Authors' Response to Gong's, “Comment on Data Science and its Relationship to Big Data and Data-Driven Decision Making”",unknown,Mary Ann Leibert,2014
,11,Big-BOE: Fusing Spanish Official Gazette with Big Data Technology,"Basanta-Val, P.; Sánchez-Fernández, L.",Mary Ann Leibert,2018
,12,Big Data–Artificial Intelligence Fusion Technology in Education in the Context of the New Crown Epidemic,"Zhao, JunJing; Li, Qi",Mary Ann Leibert,2022
,13,Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation,"Chakraborty, Chinmay; Khan, Muhammad Khurram; Ahmad, Ishfaq",Mary Ann Leibert,2021
,14,"Global water cycle and remote sensing big data: overview, challenge, and opportunities","Cui, Yaokui; Chen, Xi; Gao, Jinyu; Yan, Binyan; Tang, Guoqiang; Hong, Yang",John Wiley & Sons Ltd,2018
,15,"Correction to: Predictive Modeling with Big Data: Is Bigger Really Better? by Junqué de Fortuny E, Martens D, and Provost F. Big Data 2013;1(4):215–226.",unknown,Mary Ann Leibert,2019
,16,Sports Analytics in the Era of Big Data: Moving Toward the Next Frontier,"Assunção, Renato; Pelechrinis, Konstantinos",Mary Ann Leibert,2019
,17,Multiple Targets Tracking with Big Data-Based Measurement for Extended Binary Phase Shift Keying Transceiver,"Yu, Yao; Zhao, Junhui; Lenan, Wu",Mary Ann Leibert,2019
,18,Big Scholarly Data: A Survey,"Xia, F.; Wang, W.; Bekele, T. M.; Liu, H.",unknown,2017
,19,Scientific Training in the Era of Big Data: A New Pedagogy for Graduate Education,unknown,Mary Ann Leibert,2017
,20,The Role of Teamwork in the Analysis of Big Data: A Study of Visual Analytics and Box Office Prediction,unknown,Mary Ann Leibert,2017
,21,Call for Special Issue Papers: Big Data-Driven Futuristic Fabric System in Societal Digital Transformation,"Chakraborty, Chinmay; Khan, Muhammad Khurram; Ahmad, Ishfaq",Mary Ann Leibert,2022
,22,"Mapping essential urban land use categories (EULUC) using geospatial big data: Progress, challenges, and opportunities","Chen, Bin; Xu, Bing; Gong, Peng",John Wiley & Sons Ltd,2021
,23,"Bring it on, Big Data: Beyond the Hype",unknown,Mary Ann Leibert,2014
,24,Big data: new methods and ideas in geological scientific research,"Qi, Zhang; Xuelong, Liu",John Wiley & Sons Ltd,2019
,25,Computational Propaganda and Political Big Data: Moving Toward a More Critical Research Agenda,unknown,Mary Ann Leibert,2017
,26,Scalable Data Quality for Big Data: The Pythia Framework for Handling Missing Values,unknown,Mary Ann Leibert,2015
,27,A big data-based RF localisation method for unmanned search and rescue,"Wang, Ju; Liu, Hongzhe; Bao, Hong; Montoya, Cesar Flores; Hinton, James",Inderscience,2018
,28,"Guest Editorial: Big Media Data: Understanding, Search, and Mining","Wang, J.; Qi, G.; Sebe, N.; Aggarwal, C. C.",unknown,2016
,29,"Guest Editorial: Big Media Data: Understanding, Search, and Mining (Part 2)","Wang, J.; Qi, G.; Sebe, N.; Aggarwal, C. C.",unknown,2015
