행정구역,시도,구군,count,인구수,MC_ratio
강원도 강릉시,강원도,강릉시,4,212907,1.878754573593165
강원도 동해시,강원도,동해시,1,90045,1.1105558331945138
강원도 삼척시,강원도,삼척시,1,63458,1.575845441079139
강원도 속초시,강원도,속초시,1,82771,1.2081526138381802
강원도 양구군,강원도,양구군,1,21705,4.6072333563695
강원도 영월군,강원도,영월군,1,37893,2.639009843506716
강원도 원주시,강원도,원주시,2,358127,0.5584611045802188
강원도 정선군,강원도,정선군,2,35634,5.612617163383286
강원도 춘천시,강원도,춘천시,5,284933,1.754798496488648
강원도 태백시,강원도,태백시,1,40750,2.4539877300613497
강원도 홍천군,강원도,홍천군,1,68251,1.465179997362676
경기도 가평군,경기도,가평군,1,62291,1.605368351768313
경기도 고양시,경기도,고양시,4,1078924,0.37073973699723056
경기도 남양주시,경기도,남양주시,5,734013,0.6811868454645899
경기도 동두천시,경기도,동두천시,1,93527,1.0692099607599945
경기도 부천시,경기도,부천시,1,804990,0.12422514565398328
경기도 성남시,경기도,성남시,2,931072,0.21480615892218863
경기도 수원시,경기도,수원시,1,1184404,0.08443065035241352
경기도 시흥시,경기도,시흥시,1,512092,0.19527741109019475
경기도 안산시,경기도,안산시,2,652036,0.30673153016091137
경기도 안성시,경기도,안성시,1,189510,0.527676639755158
경기도 양주시,경기도,양주시,1,236284,0.42321951549829867
경기도 양평군,경기도,양평군,1,121300,0.8244023083264633
경기도 여주시,경기도,여주시,1,112353,0.8900518900251885
경기도 용인시,경기도,용인시,4,1076830,0.37146067624416107
경기도 의정부시,경기도,의정부시,1,463877,0.21557438717591085
경기도 이천시,경기도,이천시,1,222997,0.4484365260519199
경기도 파주시,경기도,파주시,1,484729,0.20630084026332238
경기도 평택시,경기도,평택시,1,565827,0.1767324641630746
경기도 포천시,경기도,포천시,2,148867,1.3434810938623067
경기도 화성시,경기도,화성시,1,887910,0.11262402720996498
경상남도 거창군,경상남도,거창군,2,60916,3.283209665769256
경상남도 김해시,경상남도,김해시,1,537601,0.18601155875826125
경상남도 남해군,경상남도,남해군,1,42255,2.3665838362323983
경상남도 사천시,경상남도,사천시,2,109916,1.8195713089996
